,mts_src,Tsf_out,mmed_s,mmed_f,Tmed_s_in,Tmed_c_out,med_vacuum_state
0,0.95,98.0,0.0,5.0,60.0,34.0,2.0
1,13.65,76.0,48.0,9.0,70.0,29.333333333333336,1.0
2,20.0,65.0,30.0,7.666666666666666,75.0,24.666666666666668,2.0
3,7.300000000000001,120.0,39.0,6.333333333333333,75.0,34.0,0.0
4,20.0,87.0,0.0,5.0,75.0,24.666666666666668,2.0
5,0.95,109.0,30.0,9.0,70.0,34.0,2.0
6,0.0,87.0,0.0,6.333333333333333,65.0,29.333333333333336,1.0
7,0.95,98.0,0.0,7.666666666666666,75.0,34.0,2.0
8,0.0,87.0,0.0,6.333333333333333,65.0,29.333333333333336,0.0
9,0.0,65.0,48.0,9.0,65.0,34.0,0.0
