,Tmed_c_in,Tamb,I,wmed_f
0,26.291924,21.56512451171875,0.0,36.927902
1,26.291924,21.56512451171875,0.0,36.927902
2,26.291924,21.56512451171875,0.0,36.927902
3,26.291924,21.56512451171875,0.0,36.927902
4,26.22634,21.56512451171875,0.0,36.919827
5,26.22634,21.56512451171875,0.0,36.919827
6,26.22634,21.56512451171875,0.0,36.919827
7,26.22634,21.56512451171875,0.0,36.919827
8,26.16692,21.56512451171875,0.0,36.911446
9,26.16692,21.56512451171875,0.0,36.911446
10,26.16692,21.56512451171875,0.0,36.911446
11,26.16692,21.56512451171875,0.0,36.911446
12,26.115566,21.56512451171875,0.0,36.907177
13,26.115566,21.4638671875,0.0,36.907177
14,26.115566,21.2802734375,0.0,36.907177
15,26.115566,21.287841796875,0.0,36.907177
16,26.06122,21.317138671875,0.0,36.903442
17,26.06122,21.289530436197918,0.0,36.903442
18,26.06122,21.333048502604168,0.0,36.903442
19,26.06122,20.976216634114582,1.0270126080000002,36.903442
20,26.00629,20.703470865885418,8.3792798,36.90032
21,26.00629,20.871073404947918,25.066244666666666,36.90032
22,26.00629,21.29150390625,50.64187533333334,36.90032
23,26.00629,21.06072998046875,66.88006,36.90032
24,25.95913,21.085225423177082,86.15652466666667,36.898144
25,25.95913,21.50933837890625,108.07081,36.898144
26,25.95913,21.46417236328125,94.94556333333334,36.898144
27,25.95913,21.984232584635418,130.33872,36.898144
28,25.932241,23.056599934895832,294.42486,36.897243
29,25.932241,23.627689906529017,361.34729285714286,36.897243
30,25.932241,23.96685791015625,414.83071333333334,36.897243
31,25.932241,24.436136881510418,466.6345733333334,36.897243
32,25.936886,24.723124186197918,516.52608,36.898323
33,25.936886,25.207255045572918,562.1028066666667,36.898323
34,25.936886,25.491129557291668,607.91676,36.898323
35,25.936886,25.97052001953125,651.50644,36.898323
36,25.96999,26.267801920572918,696.2603066666667,36.901196
37,25.96999,26.624409993489582,735.12762,36.901196
38,25.96999,27.270487467447918,769.0509533333334,36.901196
39,25.96999,27.420674641927082,801.84672,36.901196
40,26.055841,27.825113932291668,834.0329666666668,36.9058
41,26.055841,28.4437255859375,862.3442533333333,36.9058
42,26.055841,28.951883951822918,882.5551466666667,36.9058
43,26.055841,29.103556315104168,901.0484799999999,36.9058
44,26.156649,29.995686848958332,917.9622333333333,36.91067
45,26.156649,30.291585286458332,936.4585933333333,36.91067
46,26.156649,30.691507975260418,942.88464,36.91067
47,26.156649,31.876057942708332,951.35276,36.91067
48,26.264006,31.884724934895832,954.21488,36.91503
49,26.264006,32.7515869140625,955.3782533333334,36.91503
50,26.264006,32.995849609375,949.23714,36.91503
51,26.264006,33.867960611979164,946.6638066666667,36.91503
52,26.391167,34.120849609375,934.6974666666666,36.918514
53,26.391167,33.775675455729164,916.2728000000001,36.918514
54,26.391167,33.1722412109375,903.7037666666668,36.918514
55,26.391167,32.651936848958336,895.8339866666666,36.918514
56,26.52791,31.84771728515625,880.7881533333333,36.92105
57,26.52791,30.966084798177082,878.74206,36.92105
58,26.52791,30.969278971354168,808.0832800000001,36.92105
59,26.52791,31.0931396484375,777.9155466666667,36.92105
60,26.649237,32.839070638020836,749.99618,36.922867
61,26.649237,32.876912434895836,730.9229533333333,36.922867
62,26.649237,31.0491943359375,498.61646,36.922867
63,26.649237,31.531168619791668,614.7041800000001,36.922867
64,26.73208,31.584269205729168,570.4123666666667,36.924446
65,26.73208,31.872578938802082,524.01052,36.924446
66,26.73208,31.846028645833332,475.22113333333334,36.924446
67,26.73208,31.295369466145832,428.42438666666663,36.924446
68,26.755789,30.09954833984375,381.42598,36.92611
69,26.755789,29.4078369140625,333.1634133333333,36.92611
70,26.755789,28.203755696614582,283.29407333333336,36.92611
71,26.755789,27.376668294270832,232.1489,36.92611
72,26.699884,26.52130126953125,183.22304666666665,36.927467
73,26.699884,26.06134033203125,136.57209999999998,36.927467
74,26.699884,25.24847412109375,95.66609466666667,36.927467
75,26.699884,24.844034830729168,58.257113333333336,36.927467
76,26.571762,24.471822102864582,28.740019333333336,36.927532
77,26.571762,24.013814290364582,10.568354866666668,36.927532
78,26.571762,23.703043619791668,2.6163906666666668,36.927532
79,26.571762,23.535319010416668,0.16500478666666665,36.927532
80,26.405424,23.400492350260418,0.0,36.92506
81,26.405424,23.33843994140625,0.0,36.92506
82,26.405424,23.269490559895832,0.0,36.92506
83,26.405424,23.184488932291668,0.0,36.92506
84,26.274315,23.15191650390625,0.0,36.92015
85,26.274315,23.090535481770832,0.0,36.92015
86,26.274315,23.058756510416668,0.0,36.92015
87,26.274315,23.02008056640625,0.0,36.92015
88,26.182152,22.795430501302082,0.0,36.9163
89,26.182152,22.763203938802082,0.0,36.9163
90,26.182152,22.7734375,0.0,36.9163
91,26.182152,22.752583821614582,0.0,36.9163
92,26.104654,22.716532389322918,0.0,36.91223
93,26.104654,22.712890625,0.0,36.91223
94,26.104654,22.674173990885418,0.0,36.91223
95,26.104654,22.548787434895832,0.0,36.91223
