,Gen,Fevals,Best,Kernel,Oracle,dx,dp
0,1,0,1.5320630373484017,20,0.0,274.6841566921512,0.3959571396580335
1,2,20,1.5320630373484017,20,0.0,225.46424511786074,0.18292381546824488
2,3,40,1.5320630373484017,20,0.0,221.93387262239622,0.1793490685924739
3,4,60,1.5320630373484017,20,0.0,157.15419594170965,0.11452886740016455
4,5,80,1.5262232516044156,20,0.0,180.81607352039777,0.09231608282196069
5,6,100,1.516894259447849,20,0.0,240.84681159022193,0.07489082767227728
6,7,120,1.516894259447849,20,0.0,109.1368982577811,0.07157680668054867
7,8,140,1.516894259447849,20,0.0,85.66193937658619,0.06755111593413687
8,9,160,1.516894259447849,20,0.0,93.21443139845941,0.06988596855498241
9,10,180,1.516894259447849,20,0.0,62.20990886340287,0.0808479200265737
10,11,200,1.5168276421456668,20,0.0,255.72909060815707,0.0731583728561449
11,12,220,1.5155641347529458,20,0.0,325.53320315854165,0.07096011063299934
12,13,240,1.5155641347529458,20,0.0,239.58910260913987,0.07008980342981674
13,14,260,1.5155641347529458,20,0.0,133.5170255139082,0.07757031141168236
14,15,280,1.5155641347529458,20,0.0,239.58910260913987,0.07008980342981674
15,16,300,1.5155641347529458,20,0.0,68.46223165301397,0.0943907807586446
16,17,320,1.5155641347529458,20,0.0,79.08830317110262,0.09296968119918847
17,18,340,1.5155641347529458,20,0.0,104.32199373114541,0.09086017652546863
18,19,360,1.5155641347529458,20,0.0,248.9632212096212,0.10595434419734584
19,20,380,1.5155641347529458,20,0.0,180.23490087712761,0.07510399246282273
20,21,400,1.5155641347529458,20,0.0,121.12375177911784,0.08638459430814471
21,22,420,1.5155641347529458,20,0.0,147.47791616581293,0.08294275503187265
22,23,440,1.5155641347529458,20,0.0,147.47791616581293,0.08294275503187265
23,24,460,1.5155641347529458,20,0.0,69.0593699015327,0.10795905286619645
24,25,480,1.5155641347529458,20,0.0,65.80510243751499,0.08994889344190837
25,26,500,1.5155641347529458,20,0.0,218.41868254417292,0.08851516932341896
26,27,520,1.5155641347529458,20,0.0,147.759439247595,0.0863134823997258
27,28,540,1.5155641347529458,20,0.0,163.00469098505636,0.08588814195023042
28,29,560,1.5155641347529458,20,0.0,54.62970733298447,0.08170329799741771
29,30,580,1.5155641347529458,20,0.0,54.62970733298447,0.08170329799741771
30,31,600,1.5155641347529458,20,0.0,61.935175306820156,0.08058901588754042
31,32,620,1.5155641347529458,20,0.0,65.23092534876413,0.11312290510067546
32,33,640,1.5155641347529458,20,0.0,207.67058115376145,0.08526912055566993
33,34,660,1.5155641347529458,20,0.0,207.67058115376145,0.08526912055566993
34,35,680,1.5155641347529458,20,0.0,135.2096670344528,0.08109867179448083
35,36,700,1.5155641347529458,20,0.0,169.57395937640104,0.07918753465339723
36,37,720,1.5155641347529458,20,0.0,95.5835631654572,0.08649642806330293
37,38,740,1.5155641347529458,20,0.0,95.5835631654572,0.08649642806330293
38,39,760,1.5155641347529458,20,0.0,77.96895045712202,0.08574918401006904
39,40,780,1.5155641347529458,20,0.0,68.49558564478238,0.08426973418313444
40,41,800,1.5155641347529458,20,0.0,169.57395937640104,0.07918753465339723
41,42,820,1.5155641347529458,20,0.0,141.23503362232105,0.11161169179253938
42,43,840,1.5155641347529458,20,0.0,100.51995515709092,0.08929204519136191
43,44,860,1.5155641347529458,20,0.0,76.41676361052693,0.0914845320756621
44,45,880,1.5155641347529458,20,0.0,48.102702922142434,0.0897880512718161
45,46,900,1.5155641347529458,20,0.0,53.68008025171039,0.08858517671010002
46,47,920,1.5155641347529458,20,0.0,147.86367243946736,0.08874547433061575
47,48,940,1.5155641347529458,20,0.0,55.1483129219904,0.08610694558555432
48,49,960,1.5155641347529458,20,0.0,55.1483129219904,0.08610694558555432
49,50,1000,1.5155641347529458,20,0.0,55.1483129219904,0.08610694558555432
